category,myCategory,type,name,latinName,found,filter,photoPlace,photoDate,photo
Ärlor,Småfågel,H,Fältpiplärka,Anthus campestris,FALSE,nf,,,null
Ärlor,Småfågel,H,Ängspiplärka,Anthus pratensis,FALSE,nf,,,null
Ärlor,Småfågel,H,Trädpiplärka,Anthus trivialis,FALSE,nf,,,null
Ärlor,Småfågel,H,Rödstrupig piplärka,Anthus cervinus,FALSE,nf,,,null
Ärlor,Småfågel,T,Vattenpiplärka,Anthus spinoletta,FALSE,nf,,,null
Ärlor,Småfågel,H,Skärpiplärka,Anthus petrosus,FALSE,nf,,,null
Finkar,Småfågel,H,Bofink,Fringilla coelebs,TRUE,Check,Erstavik,2026-05-01,https://www.datocms-assets.com/147026/1777804330-bofink_260501_erstavik_3117.jpg
Finkar,Småfågel,H,Bergfink,Fringilla montifringilla,FALSE,nf,,,null
Finkar,Småfågel,H,Stenknäck,Coccothraustes coccothraustes,FALSE,nf,,,null
Finkar,Småfågel,H,Tallbit,Pinicola enucleator,FALSE,nf,,,null
Finkar,Småfågel,H,Domherre,Pyrrhula pyrrhula,FALSE,nf,,,null
Finkar,Småfågel,H,Rosenfink,Carpodacus erythrinus,FALSE,nf,,,null
Finkar,Småfågel,H,Grönfink,Chloris chloris,FALSE,nf,,,null
Finkar,Småfågel,H,Vinterhämpling,Linaria flavirostris,FALSE,nf,,,null
Finkar,Småfågel,H,Hämpling,Linaria cannabina,FALSE,nf,,,null
Finkar,Småfågel,H,Gråsiska,Acanthis flammea,FALSE,nf,,,null
Finkar,Småfågel,H,Större korsnäbb,Loxia pytyopsittacus,FALSE,nf,,,null
Finkar,Småfågel,H,Mindre korsnäbb,Loxia curvirostra,FALSE,nf,,,null
Finkar,Småfågel,H,Bändelkorsnäbb,Loxia leucoptera,FALSE,nf,,,null
Finkar,Småfågel,H,Steglits,Carduelis carduelis,FALSE,nf,,,null
Finkar,Småfågel,H,Gulhämpling,Serinus serinus,FALSE,nf,,,null
Finkar,Småfågel,H,Grönsiska,Spinus spinus,FALSE,nf,,,null
Fältsparvar,Småfågel,H,Kornsparv,Emberiza calandra,FALSE,nf,,,null
Fältsparvar,Småfågel,H,Gulsparv,Emberiza citrinella,FALSE,nf,,,null
Fältsparvar,Småfågel,H,Ortolansparv,Emberiza hortulana,FALSE,nf,,,null
Fältsparvar,Småfågel,h,Dvärgsparv,Emberiza pusilla,FALSE,nf,,,null
Fältsparvar,Småfågel,H,Videsparv,Emberiza rustica,FALSE,nf,,,null
Fältsparvar,Småfågel,H,Sävsparv,Emberiza schoeniclus,FALSE,nf,,,null
Sporrsparvar,Småfågel,H,Lappsparv,Calcarius lapponicus,FALSE,nf,,,null
Sporrsparvar,Småfågel,H,Snösparv,Plectrophenax nivalis,FALSE,nf,,,null
